Empl_ID,Charge Code,PLC,Desc,Name
176,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,176
145,612109.00.AIM.M552BP80103S.AQ,MQQP,AIMS Heavy Equip & Suppor,145
49,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,49
64,612109.00.AIM.M552BP80103S.AQ,MMAP,AIMS Heavy Equip & Suppor,64
20,612109.00.AIM.M552BP80103S.AQ,MV9P,AIMS Heavy Equip & Suppor,20
234,612109.00.AIM.M552BP80103S.AQ,MMAP,AIMS Heavy Equip & Suppor,234
204,612109.00.AIM.M552BP80103S.AQ,MW9P,AIMS Heavy Equip & Suppor,204
250,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,250
279,612109.00.AIM.M552BP80103S.AQ,MVDP,AIMS Heavy Equip & Suppor,279
278,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,278
318,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,318
323,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,323
341,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,341
346,612109.00.AIM.M552BP80103S.AQ,MVDP,AIMS Heavy Equip & Suppor,346
232,612109.00.AIM.M552BP80103S.AQ,MS9P,AIMS Heavy Equip & Suppor,232
328,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,328
375,612109.00.AIM.M552BP80103S.AQ,MPKP,AIMS Heavy Equip & Suppor,375
382,612109.00.AIM.M552BP80103S.AQ,MVDP,AIMS Heavy Equip & Suppor,382
382,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,382
342,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,342
432,612109.00.AIM.M552BP80103S.AQ,MQQP,AIMS Heavy Equip & Suppor,432
422,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,422
148,612109.00.AIM.M552BP80103S.AQ,MQQP,AIMS Heavy Equip & Suppor,148
59,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,59
407,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,407
396,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,396
504,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,504
505,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,505
564,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,564
622,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,622
513,612109.00.AIM.M552BP80103S.AQ,MQQP,AIMS Heavy Equip & Suppor,513
515,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,515
517,612109.00.AIM.M552BP80103S.AQ,MQQP,AIMS Heavy Equip & Suppor,517
614,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,614
615,612109.00.AIM.M552BP80103S.AQ,MQIP,AIMS Heavy Equip & Suppor,615
470,612109.00.AIM.M552BP80103S.AQ,MW9P,AIMS Heavy Equip & Suppor,470
472,612109.00.AIM.M552BP80103S.AQ,MS9P,AIMS Heavy Equip & Suppor,472
491,612109.00.AIM.M552BP80103S.AQ,MQQP,AIMS Heavy Equip & Suppor,491
492,612109.00.AIM.M552BP80103S.AQ,MQOP,AIMS Heavy Equip & Suppor,492
519,612109.00.AIM.M552BP80103S.AQ,M9JP,AIMS Heavy Equip & Suppor,519
285,612109.00.AIM.M552BP80104S.AQ,MENP,AIMS Site Maint.& Support,285
487,612109.00.AIM.M552BP80104S.AQ,MEMP,AIMS Site Maint.& Support,487
181,612109.00.AIM.M552BP80401S.AQ,MCDP,AIMS Aggregate for VEOC,181
174,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,174
155,612109.00.AIM.M552BP80401S.AQ,MH6P,AIMS Aggregate for VEOC,155
153,612109.00.AIM.M552BP80401S.AQ,MCCP,AIMS Aggregate for VEOC,153
150,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,150
151,612109.00.AIM.M552BP80401S.AQ,MCDP,AIMS Aggregate for VEOC,151
140,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,140
56,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,56
65,612109.00.AIM.M552BP80401S.AQ,MCDP,AIMS Aggregate for VEOC,65
73,612109.00.AIM.M552BP80401S.AQ,MOEP,AIMS Aggregate for VEOC,73
81,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,81
82,612109.00.AIM.M552BP80401S.AQ,MKKP,AIMS Aggregate for VEOC,82
90,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,90
10,612109.00.AIM.M552BP80401S.AQ,MS1P,AIMS Aggregate for VEOC,10
105,612109.00.AIM.M552BP80401S.AQ,MLYP,AIMS Aggregate for VEOC,105
44,612109.00.AIM.M552BP80401S.AQ,MLYP,AIMS Aggregate for VEOC,44
47,612109.00.AIM.M552BP80401S.AQ,MLYP,AIMS Aggregate for VEOC,47
114,612109.00.AIM.M552BP80401S.AQ,MCCP,AIMS Aggregate for VEOC,114
120,612109.00.AIM.M552BP80401S.AQ,MCCP,AIMS Aggregate for VEOC,120
127,612109.00.AIM.M552BP80401S.AQ,MLYP,AIMS Aggregate for VEOC,127
128,612109.00.AIM.M552BP80401S.AQ,MCCP,AIMS Aggregate for VEOC,128
133,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,133
182,612109.00.AIM.M552BP80401S.AQ,MZEP,AIMS Aggregate for VEOC,182
185,612109.00.AIM.M552BP80401S.AQ,MS1P,AIMS Aggregate for VEOC,185
273,612109.00.AIM.M552BP80401S.AQ,MCCP,AIMS Aggregate for VEOC,273
246,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,246
248,612109.00.AIM.M552BP80401S.AQ,MS1P,AIMS Aggregate for VEOC,248
261,612109.00.AIM.M552BP80401S.AQ,MDXP,AIMS Aggregate for VEOC,261
244,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,244
242,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,242
314,612109.00.AIM.M552BP80401S.AQ,MCDP,AIMS Aggregate for VEOC,314
285,612109.00.AIM.M552BP80401S.AQ,MENP,AIMS Aggregate for VEOC,285
284,612109.00.AIM.M552BP80401S.AQ,MS1P,AIMS Aggregate for VEOC,284
321,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,321
316,612109.00.AIM.M552BP80401S.AQ,MCCP,AIMS Aggregate for VEOC,316
337,612109.00.AIM.M552BP80401S.AQ,MS1P,AIMS Aggregate for VEOC,337
343,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,343
383,612109.00.AIM.M552BP80401S.AQ,MCCP,AIMS Aggregate for VEOC,383
372,612109.00.AIM.M552BP80401S.AQ,MCIP,AIMS Aggregate for VEOC,372
379,612109.00.AIM.M552BP80401S.AQ,MKKP,AIMS Aggregate for VEOC,379
381,612109.00.AIM.M552BP80401S.AQ,MODP,AIMS Aggregate for VEOC,381
340,612109.00.AIM.M552BP80401S.AQ,MCCP,AIMS Aggregate for VEOC,340
